Material Entity,Social Relation,Frequency
air,son,2
air,elder,1
air,child,1
air,mother,1
air,native,1
air,infant,1
air,devotee,1
air,bride,1
air,bridegroom,1
air,husband,1
air,priest,1
air,goddess,1
air,victim,1
alcohol,headman,1
ankusam,bridesmaid,1
anna,father,4
anna,mother,3
anna,bridegroom,3
anna,brother,2
anna,goddess,2
anna,bride,2
anna,sister,1
anna,celebrant,1
anna,priest,1
anna,potter,1
anna,householder,1
anna,goldsmith,1
anna,assistant,1
anna,barber,1
anna,son,1
anna,child,1
arrow,bridegroom,9
arrow,husband,6
arrow,bride,5
arrow,child,5
arrow,father,5
arrow,brother,4
arrow,son,2
arrow,mother,2
arrow,purōhit,2
arrow,infant,1
arrow,enemy,1
arrow,warrior,1
arrow,grandfather,1
arrow,king,1
arrow,landlord,1
arrow,chief,1
arrow,guard,1
arrow,priest,1
arrow,astrologer,1
arrow,patient,1
arrow,blacksmith,1
arrow,widow,1
arrow,wife,1
arrow,marksman,1
art,son,3
art,guru,2
art,offspring,1
art,husband,1
art,child,1
art,teacher,1
art,bearer,1
art,giver,1
art,housewife,1
art,master,1
art,chief,1
art,ruler,1
art,preceptor,1
art,king,1
art,goldsmith,1
ash,child,2
ash,offspring,1
ash,father,1
ashes,child,5
ashes,son,4
ashes,priest,3
ashes,bridegroom,3
ashes,barber,2
ashes,washerman,2
ashes,king,2
ashes,potter,2
ashes,chief,2
ashes,patient,2
ashes,guru,2
ashes,father,2
ashes,bride,2
ashes,mother,2
ashes,babe,1
ashes,daughter,1
ashes,carpenter,1
ashes,dancer,1
ashes,friend,1
ashes,victim,1
ashes,owner,1
ashes,witness,1
ashes,cultivator,1
ashes,performer,1
ashes,preceptor,1
ashes,beggar,1
ashes,wife,1
ashes,offspring,1
ashes,goddess,1
ashes,sorcerer,1
ashes,grandson,1
ashes,grandfather,1
ashes,zamindar,1
ashes,enemy,1
ashtamangalam,bridesmaid,1
asterism,chief,1
attire,child,1
attire,priest,1
attire,bridegroom,1
attire,native,1
attire,enemy,1
axe,ancestor,1
axe,blacksmith,1
axe,landlord,1
axe,mother,1
axe,barber,1
axe,patient,1
badge,bride,43
badge,bridegroom,32
badge,sister,13
badge,husband,7
badge,widow,5
badge,headman,5
badge,father,2
badge,elder,2
badge,priest,2
badge,watchman,1
badge,mother,1
badge,matron,1
badge,infant,1
badge,potter,1
badge,goldsmith,1
badge,heir,1
badge,consort,1
badge,son,1
badge,aunt,1
badge,chief,1
badge,resident,1
badge,uncle,1
badge,daughter,1
bag,bride,3
bag,bridegroom,3
bag,mother,2
bag,headman,2
bag,astrologer,1
bag,infant,1
bag,servant,1
bag,dāsis,1
bag,brother,1
bag,native,1
bag,sister,1
bag,husband,1
bag,child,1
bali,chief,5
bali,mourner,5
bali,father,3
bali,mother,2
bali,brother,1
bali,daughter,1
bali,aliya,1
bali,ancestor,1
bali,son,1
ball,chief,3
ball,son,2
ball,mourner,2
ball,bridegroom,1
ball,goddess,1
ball,owner,1
ball,victim,1
ball,witness,1
ball,mother,1
bangle,bridegroom,4
bangle,bride,2
bangle,widow,2
bangle,heir,2
bangle,son,2
bangle,mother,2
bangle,babe,1
bangle,police,1
bangle,brother,1
bangle,giver,1
bangle,cultivator,1
bangle,blacksmith,1
bangle,consort,1
bangle,headman,1
bangle,seller,1
bangle,sorcerer,1
bangle,messenger,1
bangle,chief,1
bangle,mourner,1
bangle,wife,1
banner,chief,1
banner,king,1
bar,son,1
bar,child,1
bar,mother,1
bar,bride,1
bar,wife,1
barley,wife,1
barley,husband,1
barley,offspring,1
barley,chief,1
basket,bridegroom,12
basket,bride,11
basket,wife,5
basket,washerman,4
basket,grandson,4
basket,brother,3
basket,husband,3
basket,friend,2
basket,priest,2
basket,sister,2
basket,master,2
basket,goddess,2
basket,child,2
basket,victim,1
basket,pūjāri,1
basket,watchman,1
basket,elder,1
basket,headman,1
basket,treasurer,1
basket,neighbour,1
basket,baby,1
basket,widow,1
basket,midwife,1
basket,delinquent,1
basket,maker,1
basket,offspring,1
basket,merchant,1
basket,mother,1
basket,son,1
basket,heir,1
basket,chief,1
basket,expert,1
bead,bride,10
bead,bridegroom,7
bead,babe,1
bead,guardian,1
bead,father,1
bead,uncle,1
bead,child,1
beard,grandfather,1
bed,bridegroom,7
bed,bride,4
bed,child,2
bed,baby,2
bed,father,2
bed,husband,2
bed,mother,2
bed,watchman,1
bed,priest,1
bed,victim,1
bed,patient,1
bed,nephew,1
bed,mendicant,1
bed,son,1
bed,guru,1
bedi,bride,1
bedi,brother,1
bedi,wife,1
bedi,bridegroom,1
beef,devotee,1
beef,ejamān,1
beef,headman,1
beef,correspondent,1
beef,butcher,1
beef,eater,1
beef,priest,1
beef,wife,1
beer,child,1
bell,consort,2
bell,bride,2
bell,brother,2
bell,beggar,2
bell,wife,2
bell,goddess,1
bell,master,1
bell,thief,1
bell,donor,1
bell,priest,1
bell,pūjāri,1
bell,babe,1
bell,washerman,1
bell,child,1
bell,mother,1
bell,enemy,1
bier,son,4
bier,widow,3
bier,barber,2
bier,chief,1
bier,mourner,1
bier,heir,1
bier,mother,1
bit,headman,3
bit,husband,2
bit,widow,2
bit,child,2
bit,uncle,1
bit,daughter,1
bit,aunt,1
bit,mother,1
bit,friend,1
bit,father,1
bit,goldsmith,1
bit,wife,1
blanket,bride,7
blanket,bridegroom,2
blanket,husband,2
blanket,uncle,2
blanket,correspondent,1
blanket,guru,1
blanket,weaver,1
blanket,nephew,1
blanket,patient,1
blanket,father,1
blanket,goddess,1
blanket,headman,1
board,chief,1
board,native,1
board,child,1
board,employer,1
boat,saint,1
boat,overlord,1
boat,guard,1
boat,author,1
boat,expert,1
boat,headman,1
boat,official,1
boat,fisherman,1
bodice,bride,3
bodice,partner,2
bodice,father,1
bone,infant,2
bone,child,2
bone,chief,1
bone,mourner,1
bone,grandmother,1
bone,grandfather,1
bone,father,1
bone,brother,1
bone,ancestor,1
bone,victim,1
bone,goddess,1
bone,enemy,1
bone,fisherman,1
bone,pūjāri,1
book,patient,2
book,aliya,1
book,scholar,1
book,officer,1
book,wife,1
book,priest,1
book,informant,1
book,diviner,1
book,infant,1
book,child,1
book,physician,1
book,leader,1
book,native,1
book,reader,1
book,landlord,1
border,landlord,1
border,pūjāri,1
border,barber,1
border,bridegroom,1
border,writer,1
border,sister,1
bottu,bride,25
bottu,bridegroom,20
bottu,widow,6
bottu,priest,3
bottu,novice,2
bottu,sister,2
bottu,purōhit,1
bottu,cultivator,1
bottu,adult,1
bottu,potter,1
bottu,goldsmith,1
bottu,son,1
bottu,child,1
bottu,mother,1
bottu,brother,1
bough,uncle,2
bow,father,7
bow,bridegroom,5
bow,bride,5
bow,brother,4
bow,child,4
bow,wife,2
bow,husband,2
bow,enemy,1
bow,artisan,1
bow,barber,1
bow,priest,1
bow,widow,1
bow,son,1
bowl,bridegroom,2
bowl,child,1
bowl,bride,1
box,bride,3
box,matron,2
box,witness,2
box,bridegroom,2
box,cutter,1
box,owner,1
box,goldsmith,1
box,priest,1
box,father,1
box,son,1
box,servant,1
box,wife,1
box,headman,1
box,king,1
box,daughter,1
bracelet,offspring,1
bracelet,husband,1
bracelet,child,1
bracelet,priest,1
bracelet,chief,1
bracelet,bride,1
bracelet,bridegroom,1
bran,mendicant,4
bran,bridegroom,1
bran,purōhit,1
brass,bride,26
brass,bridegroom,23
