Material Entity,Social Relation,Sentence
air,son,"The dead person’s son throws rice and Zizyphus leaves into the air, and calls on the deceased to come and give a blessing on the following day."
air,son,"The various articles are put into a new pot, and the son, going into the water up to his neck, throws the pot into the air, and breaks it."
air,husband,"There is, Mr. Francis writes,38 a tradition in the South Arcot district that “the hills were inhabited by Vēdans, and that the Malaiālis killed the men, and wedded the women; and at marriages a gun is still fired in the air to represent the death of the Vēdan husband.”"
air,priest,"The priest offers betel and nut to Kari Rāman, and then a gun is fired into the air.”43"
air,victim,"The victim of the plot, little suspecting there was treachery in the air, removed all the presents as usual with his own hand."
air,child,"It is a belief of the villagers that such a devil child, when born and brought in contact with the air, rapidly grows, and causes great trouble, usually killing the mother, and sometimes killing all the inmates of the house."
air,mother,"It is a belief of the villagers that such a devil child, when born and brought in contact with the air, rapidly grows, and causes great trouble, usually killing the mother, and sometimes killing all the inmates of the house."
air,goddess,"The ceremonies take place in the open air, at a particular spot on the hills, where the goddess is to be adored in the shape of a stone called Vellandiswāmi."
air,elder,"Then he, and all the relations of the deceased, squat on the ground, facing east, take up some dharbha grass, and, cutting it into small fragments with their nails, scatter them in the air, while repeating some Vēdic verses, which are chanted very loudly and slowly, especially at the funeral of a respected elder."
air,devotee,"The next devotee was fastened in the same way to the beam, but, instead of a sword and shield, the priests gave him an infant in his arms, and devotee and infant were swung up in the air, and the car dragged round the temple as before."
air,infant,"The next devotee was fastened in the same way to the beam, but, instead of a sword and shield, the priests gave him an infant in his arms, and devotee and infant were swung up in the air, and the car dragged round the temple as before."
air,bride,"On the third day of the marriage ceremonies, the bride’s party go to the house of the bridegroom with an air of burning indignation, and every effort is made to appease them."
air,bridegroom,"On the third day of the marriage ceremonies, the bride’s party go to the house of the bridegroom with an air of burning indignation, and every effort is made to appease them."
air,native,"This he did, and the gods were so pleased with him that they transported him in the air to his native place."
alcohol,headman,"The consumption of alcohol is strictly prohibited, and is severely punished by the headman of the caste."
